"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Status Code","Status","Path Type","Link Path","Link Position","Link Origin","Size","Transferred"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/29-may-2026","https://wa.me/?text=SA+PowerBall+Plus+Results+29+May+2026
Numbers%3A+14%2C+17%2C+22%2C+27%2C+36+%2B+PB+20
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F29-may-2026","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/privacy-policy/","https://www.google.com/settings/ads","Google's Ads Settings","","True","_blank","noopener noreferrer","301","Moved Permanently","Absolute","//body/div[@class='legal-wrapper']/main/p[8]/a[1]","Content","HTML","228","228"
"Hyperlink","https://nextdrawlogic.com/privacy-policy/","https://www.google.com/settings/ads","Google Ads Settings","","True","_blank","noopener noreferrer","301","Moved Permanently","Absolute","//body/div[@class='legal-wrapper']/main/p[18]/a[1]","Content","HTML","228","228"
"Hyperlink","https://nextdrawlogic.com/terms-of-service/","https://www.google.com/settings/ads","Google Ads Settings","","False","_blank","nofollow noopener","301","Moved Permanently","Absolute","//body/div[@class='legal-wrapper']/main/ul[1]/li[2]/a","Content","HTML","228","228"
"Hyperlink","https://nextdrawlogic.com/privacy-policy/","https://www.networkadvertising.org/choices/","www.networkadvertising.org","","True","_blank","noopener noreferrer","301","Moved Permanently","Absolute","//body/div[@class='legal-wrapper']/main/p[8]/a[2]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/privacy-policy/","https://www.aboutads.info/choices/","aboutads.info/choices","","True","_blank","noopener noreferrer","301","Moved Permanently","Absolute","//body/div[@class='legal-wrapper']/main/p[18]/a[2]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/terms-of-service/","https://www.aboutads.info/choices/","aboutads.info","","False","_blank","nofollow noopener","301","Moved Permanently","Absolute","//body/div[@class='legal-wrapper']/main/ul[1]/li[3]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/26-may-2026/","https://wa.me/?text=SA+PowerBall+Plus+Results+26+May+2026
Numbers%3A+13%2C+27%2C+29%2C+36%2C+37+%2B+PB+10
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F26-may-2026%2F","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/28-april-2026/","https://wa.me/?text=SA+PowerBall+Plus+Results+28+April+2026
Numbers%3A+6%2C+10%2C+13%2C+24%2C+26+%2B+PB+2
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F28-april-2026%2F","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/22-may-2026/","https://wa.me/?text=SA+PowerBall+Plus+Results+22+May+2026
Numbers%3A+10%2C+11%2C+15%2C+22%2C+48+%2B+PB+5
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F22-may-2026%2F","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/8-may-2026/","https://wa.me/?text=SA+PowerBall+Plus+Results+8+May+2026
Numbers%3A+13%2C+17%2C+28%2C+41%2C+47+%2B+PB+19
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F8-may-2026%2F","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/1-may-2026/","https://wa.me/?text=SA+PowerBall+Plus+Results+1+May+2026
Numbers%3A+7%2C+8%2C+33%2C+38%2C+45+%2B+PB+13
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F1-may-2026%2F","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/15-may-2026/","https://wa.me/?text=SA+PowerBall+Plus+Results+15+May+2026
Numbers%3A+17%2C+21%2C+25%2C+35%2C+37+%2B+PB+11
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F15-may-2026%2F","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/5-may-2026/","https://wa.me/?text=SA+PowerBall+Plus+Results+5+May+2026
Numbers%3A+19%2C+37%2C+39%2C+40%2C+45+%2B+PB+3
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F5-may-2026%2F","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/19-may-2026/","https://wa.me/?text=SA+PowerBall+Plus+Results+19+May+2026
Numbers%3A+5%2C+21%2C+23%2C+41%2C+43+%2B+PB+11
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F19-may-2026%2F","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/12-may-2026/","https://wa.me/?text=SA+PowerBall+Plus+Results+12+May+2026
Numbers%3A+19%2C+20%2C+29%2C+35%2C+44+%2B+PB+6
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F12-may-2026%2F","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/29-may-2026/","https://wa.me/?text=SA+PowerBall+Plus+Results+29+May+2026
Numbers%3A+14%2C+17%2C+22%2C+27%2C+36+%2B+PB+20
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F29-may-2026%2F","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/15-may-2026","https://wa.me/?text=SA+PowerBall+Plus+Results+15+May+2026
Numbers%3A+17%2C+21%2C+25%2C+35%2C+37+%2B+PB+11
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F15-may-2026","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/22-may-2026","https://wa.me/?text=SA+PowerBall+Plus+Results+22+May+2026
Numbers%3A+10%2C+11%2C+15%2C+22%2C+48+%2B+PB+5
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F22-may-2026","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/26-may-2026","https://wa.me/?text=SA+PowerBall+Plus+Results+26+May+2026
Numbers%3A+13%2C+27%2C+29%2C+36%2C+37+%2B+PB+10
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F26-may-2026","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/19-may-2026","https://wa.me/?text=SA+PowerBall+Plus+Results+19+May+2026
Numbers%3A+5%2C+21%2C+23%2C+41%2C+43+%2B+PB+11
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F19-may-2026","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/powerball-plus/12-may-2026","https://wa.me/?text=SA+PowerBall+Plus+Results+12+May+2026
Numbers%3A+19%2C+20%2C+29%2C+35%2C+44+%2B+PB+6
Jackpot%3A+R+0.00
https%3A%2F%2Fnextdrawlogic.com%2Fresults%2Fpowerball-plus%2F12-may-2026","WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/section[@id='analysis']/div[4]/div/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/predictions/powerball/","https://wa.me/?text=Daily+Lotto+Prediction+Today+—+19+June+2026+https%3A%2F%2Fnextdrawlogic.com%2Fpredictions%2Fpowerball%2F","Share on WhatsApp","","True","_blank","noopener noreferrer","302","Found","Absolute","//body/main/div/div/div[7]/a[2]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/predictions/powerball/","https://twitter.com/intent/tweet?text=Daily+Lotto+Prediction+Today+—+19+June+2026&url=https%3A%2F%2Fnextdrawlogic.com%2Fpredictions%2Fpowerball%2F","Share on X","","True","_blank","noopener noreferrer","301","Moved Permanently","Absolute","//body/main/div/div/div[7]/a[3]","Content","HTML","0","0"
