"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Status Code","Status","Path Type","Link Path","Link Position","Link Origin","Size","Transferred"
"Hyperlink","https://nextdrawlogic.com/number-generator/powerball-plus/","https://nextdrawlogic.com/results/powerball-plus/","Latest Results","","True","","","403","Forbidden","Root-Relative","//body/div[@class='layout-wrapper']/aside/ul/li[1]/a","Aside","HTML","787","787"
"Hyperlink","https://nextdrawlogic.com/predictions/lotto-plus-2/","https://nextdrawlogic.com/results/lotto-plus-2/predictions/","Smart Predictions","","True","","","404","Not Found","Root-Relative","//body/main/div/aside/nav/ul/li[2]/a","Navigation","HTML","6271","6271"
"Hyperlink","https://nextdrawlogic.com/predictions/daily-lotto/","https://nextdrawlogic.com/lotto/results/","SA Lotto Results Hub","","True","","","404","Not Found","Root-Relative","//body/main/div/div/section[@class='ndl-int-links']/ul/li[4]/a","Content","HTML","1903","1903"
"Hyperlink","https://nextdrawlogic.com/number-generator/powerball/","https://nextdrawlogic.com/how-to-play/powerball/","How to Play","","True","","","404","Not Found","Root-Relative","//body/div[@class='layout-wrapper']/aside/ul/li[6]/a","Aside","HTML","1903","1903"
"Hyperlink","https://nextdrawlogic.com/number-generator/powerball-plus/","https://nextdrawlogic.com/how-to-play/powerball/","How to Play","","True","","","404","Not Found","Root-Relative","//body/div[@class='layout-wrapper']/aside/ul/li[6]/a","Aside","HTML","1903","1903"
"Hyperlink","https://nextdrawlogic.com/number-generator/lotto-plus-2/","https://nextdrawlogic.com/results/lotto-plus-2/","Latest Results","","True","","","403","Forbidden","Root-Relative","//body/div[@class='layout-wrapper']/aside/ul/li[1]/a","Aside","HTML","787","787"
"Hyperlink","https://nextdrawlogic.com/check-tickets/lotto-plus-2/","https://nextdrawlogic.com/results/lotto-plus-2/hot-cold/","Lotto Plus 2 Hot & Cold","","True","","","404","Not Found","Root-Relative","//body/main/div/aside/nav/ul/li[2]/a","Navigation","HTML","6273","6273"
"Hyperlink","https://nextdrawlogic.com/number-generator/daily-lotto/","https://nextdrawlogic.com/results/daily-lotto/","latest results","","True","","","403","Forbidden","Root-Relative","//body/div[@class='layout-wrapper']/main/div[@class='link-banner']/a[2]","Content","HTML","787","787"
"Hyperlink","https://nextdrawlogic.com/number-generator/daily-lotto/","https://nextdrawlogic.com/results/daily-lotto/","Latest Results","","True","","","403","Forbidden","Root-Relative","//body/div[@class='layout-wrapper']/aside/ul/li[1]/a","Aside","HTML","787","787"
"Hyperlink","https://nextdrawlogic.com/number-generator/","https://nextdrawlogic.com/results/daily-lotto/","Daily Lotto Results","","True","","","403","Forbidden","Root-Relative","//body/div[@class='layout-wrapper']/aside/ul/li[3]/a","Aside","HTML","787","787"
"Hyperlink","https://nextdrawlogic.com/number-generator/daily-lotto/","https://nextdrawlogic.com/how-to-play/daily-lotto/","how to play Daily Lotto","","True","","","404","Not Found","Root-Relative","//body/div[@class='layout-wrapper']/main/div[@class='link-banner']/a[4]","Content","HTML","1903","1903"
"Hyperlink","https://nextdrawlogic.com/number-generator/daily-lotto/","https://nextdrawlogic.com/how-to-play/daily-lotto/","How to Play","","True","","","404","Not Found","Root-Relative","//body/div[@class='layout-wrapper']/aside/ul/li[6]/a","Aside","HTML","1903","1903"
"Hyperlink","https://nextdrawlogic.com/check-tickets/lotto-plus-2/","https://nextdrawlogic.com/results/powerball/","PowerBall results today","","True","","","403","Forbidden","Root-Relative","//body/main/div/div/section[@class='seo-section'][2]/ul/li[3]/a","Content","HTML","787","787"
"Hyperlink","https://nextdrawlogic.com/number-generator/powerball/","https://nextdrawlogic.com/results/powerball/","Latest Results","","True","","","403","Forbidden","Root-Relative","//body/div[@class='layout-wrapper']/aside/ul/li[1]/a","Aside","HTML","787","787"
"Hyperlink","https://nextdrawlogic.com/number-generator/","https://nextdrawlogic.com/results/powerball/","PowerBall Results","","True","","","403","Forbidden","Root-Relative","//body/div[@class='layout-wrapper']/aside/ul/li[4]/a","Aside","HTML","787","787"
"Hyperlink","https://nextdrawlogic.com/check-tickets/lotto-plus-1/","https://nextdrawlogic.com/results/lotto-plus-1/predictions/","Lotto Plus 1 Predictions Get algorithm-driven predictions for the next draw.","","True","","","404","Not Found","Root-Relative","//body/main/div/div/section[@class='related-section']/div/a[@class='related-card'][2]","Content","HTML","6267","6267"
"Hyperlink","https://nextdrawlogic.com/check-tickets/lotto-plus-1/","https://nextdrawlogic.com/results/lotto-plus-1/hot-cold/","Hot & Cold Numbers See which Plus 1 numbers are trending this month.","","True","","","404","Not Found","Root-Relative","//body/main/div/div/section[@class='related-section']/div/a[@class='related-card'][3]","Content","HTML","6270","6270"
"Hyperlink","https://nextdrawlogic.com/hot-and-cold-numbers/lotto-plus-1/","https://nextdrawlogic.com/results/lotto-plus-1/","Latest Lotto Plus 1 Results","","True","","","403","Forbidden","Root-Relative","//body/main/div/div/section[@class='modern-internal-links'][1]/ul/li[3]/a","Content","HTML","787","787"
"Hyperlink","https://nextdrawlogic.com/number-generator/lotto-plus-1/","https://nextdrawlogic.com/results/lotto-plus-1/","Latest Results","","True","","","403","Forbidden","Root-Relative","//body/div[@class='layout-wrapper']/aside/ul/li[1]/a","Aside","HTML","787","787"
"Hyperlink","https://nextdrawlogic.com/number-generator/lotto/","https://nextdrawlogic.com/how-to-play/lotto/","how to play SA Lotto","","True","","","404","Not Found","Root-Relative","//body/div[@class='layout-wrapper']/main/div[@class='content-block']/p[4]/a","Content","HTML","1903","1903"
"Hyperlink","https://nextdrawlogic.com/number-generator/lotto/","https://nextdrawlogic.com/how-to-play/lotto/","How to Play","","True","","","404","Not Found","Root-Relative","//body/div[@class='layout-wrapper']/aside/ul/li[6]/a","Aside","HTML","1903","1903"
"Hyperlink","https://nextdrawlogic.com/number-generator/lotto-plus-1/","https://nextdrawlogic.com/how-to-play/lotto/","How to Play","","True","","","404","Not Found","Root-Relative","//body/div[@class='layout-wrapper']/aside/ul/li[6]/a","Aside","HTML","1903","1903"
"Hyperlink","https://nextdrawlogic.com/number-generator/lotto-plus-2/","https://nextdrawlogic.com/how-to-play/lotto/","How to Play","","True","","","404","Not Found","Root-Relative","//body/div[@class='layout-wrapper']/aside/ul/li[6]/a","Aside","HTML","1903","1903"
