"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://nextdrawlogic.com/results/powerball","text/html","301","Moved Permanently","Non-Indexable","Redirected","2","1,040","https://nextdrawlogic.com/results/powerball/","HTTP Redirect"
"https://nextdrawlogic.com/results/daily-lotto/history","text/html","301","Moved Permanently","Non-Indexable","Redirected","2","0,361","https://nextdrawlogic.com/results/daily-lotto/history/","HTTP Redirect"
"https://nextdrawlogic.com/predictions/powerball","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","1,090","https://nextdrawlogic.com/predictions/powerball/","HTTP Redirect"
"https://nextdrawlogic.com/predictions/lotto-plus-2","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0,358","https://nextdrawlogic.com/predictions/lotto-plus-2/","HTTP Redirect"
"https://nextdrawlogic.com/predictions/lotto","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","1,062","https://nextdrawlogic.com/predictions/lotto/","HTTP Redirect"
"https://nextdrawlogic.com/predictions/lotto-plus-1","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","1,065","https://nextdrawlogic.com/predictions/lotto-plus-1/","HTTP Redirect"
"https://nextdrawlogic.com/predictions/powerball-plus","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","1,808","https://nextdrawlogic.com/predictions/powerball-plus/","HTTP Redirect"
"https://nextdrawlogic.com/results/powerball-plus/history","text/html","301","Moved Permanently","Non-Indexable","Redirected","0","0,383","https://nextdrawlogic.com/results/powerball-plus/history/","HTTP Redirect"
"https://nextdrawlogic.com/predictions/daily-lotto","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","3,435","https://nextdrawlogic.com/predictions/daily-lotto/","HTTP Redirect"
"https://nextdrawlogic.com/results/lotto/history","text/html","301","Moved Permanently","Non-Indexable","Redirected","183","0,358","https://nextdrawlogic.com/results/lotto/history/","HTTP Redirect"
