Type;From;To;Anchor Text;Alt Text;Follow;Target;Rel;Status Code;Status;Path Type;Link Path;Link Position;Link Origin;Size;Transferred
Hyperlink;https://nextdrawlogic.com/;https://nextdrawlogic.com/blog/powerballvs-lotto-odds-south-africa/;⚖️ Comparison PowerBall vs Lotto: Which Has Better Odds in South Africa? A head-to-head odds comparison between PowerBall and Lotto to help you decide where to spend your rand. Read article;;TRUE;;;404;Not Found;Root-Relative;//body/main/section[@class='related-section']/div[@class='related-grid']/a[@class='related-card'][4];Content;HTML;0;0
Hyperlink;https://nextdrawlogic.com/sitemap/;https://nextdrawlogic.com/results/lotto-plus-1/;Latest Results;;TRUE;;;403;Forbidden;Root-Relative;//body/main/div/div[7]/div[@class='card-body']/ul/li[1]/a;Content;HTML;0;0
Hyperlink;https://nextdrawlogic.com/sitemap/;https://nextdrawlogic.com/results/powerball/;Latest Results;;TRUE;;;403;Forbidden;Root-Relative;//body/main/div/div[9]/div[@class='card-body']/ul/li[1]/a;Content;HTML;0;0
Hyperlink;https://nextdrawlogic.com/sitemap/;https://nextdrawlogic.com/results/powerball-plus/;Latest Results;;TRUE;;;403;Forbidden;Root-Relative;//body/main/div/div[10]/div[@class='card-body']/ul/li[1]/a;Content;HTML;0;0
Hyperlink;https://nextdrawlogic.com/how-to-play/powerball-plus/;https://nextdrawlogic.com/results/powerball-plus/;NextDrawLogic's PowerBall Plus results page;;TRUE;;;403;Forbidden;Root-Relative;//body/main/div[@class='layout']/main/section[@id='how-to-play']/div/div[@class='step'][6]/div[@class='step-body']/p/a;Content;HTML;0;0
Hyperlink;https://nextdrawlogic.com/how-to-play/powerball-plus/;https://nextdrawlogic.com/results/powerball-plus/;PowerBall Plus results page;;TRUE;;;403;Forbidden;Root-Relative;//body/main/div[@class='layout']/main/section[@id='faq']/div[1]/details[@class='faq-item'][5]/p/a;Content;HTML;0;0
Hyperlink;https://nextdrawlogic.com/sitemap/;https://nextdrawlogic.com/results/lotto/;Latest Results;;TRUE;;;403;Forbidden;Root-Relative;//body/main/div/div[6]/div[@class='card-body']/ul/li[1]/a;Content;HTML;0;0
Hyperlink;https://nextdrawlogic.com/sitemap/;https://nextdrawlogic.com/results/daily-lotto/;Latest Results;;TRUE;;;403;Forbidden;Root-Relative;//body/main/div/div[5]/div[@class='card-body']/ul/li[1]/a;Content;HTML;0;0
Hyperlink;https://nextdrawlogic.com/sitemap/;https://nextdrawlogic.com/results/lotto-plus-2/;Latest Results;;TRUE;;;403;Forbidden;Root-Relative;//body/main/div/div[8]/div[@class='card-body']/ul/li[1]/a;Content;HTML;0;0
Hyperlink;https://nextdrawlogic.com/blog/how-much-tax-do-you-pay-on-lottery-winnings-in-south-africa/;https://nextdrawlogic.com/blog/lottery-tips-south-africa/;💡 Smart Playing Tips;;TRUE;;;404;Not Found;Root-Relative;//body/main/div/aside/nav[@class='ndl-sidebar-card'][3]/ul/li[4]/a;Navigation;HTML;0;0
Hyperlink;https://nextdrawlogic.com/blog/lotto-plus-1-vs-plus-2-which-is-better/;https://nextdrawlogic.com/blog/lottery-tips-south-africa/;💡 Top Lottery Tips for SA;;TRUE;;;404;Not Found;Root-Relative;//body/main/div/aside/div/ul/li[4]/a;Aside;HTML;0;0
Hyperlink;https://nextdrawlogic.com/blog/how-much-tax-do-you-pay-on-lottery-winnings-in-south-africa/;https://nextdrawlogic.com/blog/lotto-plus-1-vs-lotto-plus-2/;🎱 Plus 1 vs Plus 2 Guide;;TRUE;;;404;Not Found;Root-Relative;//body/main/div/aside/nav[@class='ndl-sidebar-card'][3]/ul/li[3]/a;Navigation;HTML;0;0
Hyperlink;https://nextdrawlogic.com/blog/best-strategies-to-win-lotto-or-powerball-in-south-africa/;https://nextdrawlogic.com/blog/lotto-plus-1-vs-lotto-plus-2/;🎱 Plus 1 vs Plus 2 Guide;;TRUE;;;404;Not Found;Root-Relative;//body/main/div/aside/nav[@class='ndl-sidebar-card'][3]/ul/li[4]/a;Navigation;HTML;0;0
