"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Status Code","Status","Path Type","Link Path","Link Position","Link Origin","Size","Transferred"
"Hyperlink","https://nextdrawlogic.com/blog/how-long-to-claim-lotto-prize-south-africa/","https://nextdrawlogic.com/blog/lotto-vs-daily-lotto-beginners-south-africa/","Lotto vs Daily Lotto: Which Should Beginners Play?","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='article-body']/div/ul/li[4]/a","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/blog/is-sa-lottery-rigged/","https://nextdrawlogic.com/blog/lotto-vs-daily-lotto-beginners-south-africa/","🎓 Lotto vs Daily Lotto","","True","","","404","Not Found","Root-Relative","//body/main/div/aside/nav[@class='ndl-sidebar-card'][3]/ul/li[2]/a","Navigation","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/author/zanele-shabelo/","https://nextdrawlogic.com/blog/how-to-claim-lottery-prize-south-africa/","📋 How-To How to Claim a Lottery Prize in South Africa – Step-by-Step Guide 📅 14 Apr 2026","","True","","","404","Not Found","Root-Relative","//body/main/section/div/a[@class='article-card'][6]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/author/zanele-shabelo/","https://nextdrawlogic.com/blog/hot-cold-numbers-powerball-lotto/","🔥 Analysis Hot and Cold Numbers for PowerBall & Lotto: Do They Really Work? (2026) 📅 30 May 2026","","True","","","404","Not Found","Root-Relative","//body/main/section/div/a[@class='article-card'][4]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/author/zanele-shabelo/","https://nextdrawlogic.com/blog/best-strategies-win-lotto-powerball/","🎯 Strategy Best Strategies to Win Lotto or PowerBall in South Africa (2026) 📅 30 May 2026","","True","","","404","Not Found","Root-Relative","//body/main/section/div/a[@class='article-card'][3]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/author/zanele-shabelo/","https://nextdrawlogic.com/blog/tax-on-lottery-winnings-south-africa/","🧾 Tax & Law How Much Tax Do You Pay on Lottery Winnings in South Africa? (2026) 📅 30 May 2026","","True","","","404","Not Found","Root-Relative","//body/main/section/div/a[@class='article-card'][2]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/blog/is-sa-lottery-rigged/","https://nextdrawlogic.com/blog/tax-on-lottery-winnings-south-africa/","🧾 Lottery Tax in SA","","True","","","404","Not Found","Root-Relative","//body/main/div/aside/nav[@class='ndl-sidebar-card'][3]/ul/li[4]/a","Navigation","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/blog/lotto-odds-explained/","https://nextdrawlogic.com/blog/tax-on-lottery-winnings-south-africa/","🧾 Tax on Lottery Winnings","","True","","","404","Not Found","Root-Relative","//body/main/div/aside/nav[@class='ndl-sidebar-card'][3]/ul/li[3]/a","Navigation","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/blog/lottery-tips-south-africa/","https://nextdrawlogic.com/blog/tax-on-lottery-winnings-south-africa/","🧾 Tax on Lottery Winnings","","True","","","404","Not Found","Root-Relative","//body/main/div/aside/nav[@class='ndl-sidebar-card'][3]/ul/li[1]/a","Navigation","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/author/derrick-mos/","https://nextdrawlogic.com/contact/?ref=derrick-mos","💬 Send Feedback","","True","","","404","Not Found","Root-Relative","//body/main/div[@class='author-contact']/div/a[@class='contact-link'][1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/author/derrick-mos/","https://nextdrawlogic.com/authors/","Authors","","True","","","404","Not Found","Absolute","//body/main/nav/a[2]","Navigation","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/author/zanele-shabelo/","https://nextdrawlogic.com/authors/","Authors","","True","","","404","Not Found","Absolute","//body/main/nav/a[2]","Navigation","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/blog/how-much-tax-do-you-pay-on-lottery-winnings-in-south-africa/","https://nextdrawlogic.com/contact/","✉️ Contact Us","","False","","nofollow","404","Not Found","Root-Relative","//body/main/div/aside/nav[@class='ndl-sidebar-card'][4]/ul/li[5]/a","Navigation","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=14","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=3","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=2","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=4","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=5","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=1","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=13","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=12","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=6","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=7","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=11","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=10","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=8","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=9","https://nextdrawlogic.com/contact/","contact us","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[1]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/","https://nextdrawlogic.com/terms/","Terms of Use","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[3]","Content","HTML","0","0"
"Hyperlink","https://nextdrawlogic.com/results/lotto-plus-1/history/?page=14","https://nextdrawlogic.com/terms/","Terms of Use","","True","","","404","Not Found","Root-Relative","//body/main/div/div/div[@class='disclaimer-block']/div/p[2]/a[3]","Content","HTML","0","0"
